LONGITUDE,LATITUDE,INSTITUICAO,ALT_ORTOMETRICA,GRAV_OBS,GRAV_ARLIVRE,GRAV_BOUGUER,FONTE
-62.64585834,-11.65849114,SGB,192.45,978208.88,22.68,1.14,SGB
-62.65049354,-11.66566001,SGB,206.59,978205.5,23.4,0.28,SGB
-62.65611215,-11.67394841,SGB,206.23,978205,22.48,-0.6,SGB
-62.66114416,-11.68191572,SGB,201.63,978206.61,22.38,-0.18,SGB
-62.66619667,-11.68965134,SGB,191.73,978209.13,21.56,0.1,SGB
-62.67113726,-11.69718433,SGB,186.86,978210.74,21.39,0.47,SGB
-62.67589183,-11.70440412,SGB,187.34,978211.05,21.58,0.61,SGB
-62.68323613,-11.7115251,SGB,185.71,978212.4,22.17,1.38,SGB
-62.69175333,-11.70943657,SGB,195.4,978209.92,22.75,0.88,SGB
-62.70048518,-11.70714799,SGB,193.51,978209.13,21.47,-0.19,SGB
-62.70954551,-11.70415495,SGB,189.57,978208.37,19.6,-1.62,SGB
-62.71850852,-11.70194595,SGB,184.15,978209.4,19.04,-1.57,SGB
-62.7274199,-11.69944093,SGB,185.02,978208.5,18.51,-2.2,SGB
-62.73639997,-11.69730058,SGB,194.02,978207.2,20.06,-1.66,SGB
-62.7451637,-11.6948942,SGB,191.89,978207.75,20.04,-1.44,SGB
-62.75518327,-11.69412789,SGB,183.02,978209.45,19.03,-1.45,SGB
-62.75988174,-11.70205201,SGB,179.4,978211.58,19.75,-0.33,SGB
-62.76425679,-11.70943504,SGB,174.4,978212.84,19.2,-0.32,SGB
-62.77091527,-11.71586668,SGB,175.6,978214.71,21.2,1.55,SGB
-62.77816307,-11.72199447,SGB,172.01,978217.28,22.44,3.19,SGB
-62.78671525,-11.72863941,SGB,175.76,978218.95,25.02,5.34,SGB
-62.79185242,-11.73624879,SGB,175.19,978219.32,24.94,5.33,SGB
-62.79188741,-11.7453969,SGB,169.8,978221.56,25.17,6.17,SGB
-62.79170177,-11.75413492,SGB,166.27,978223.61,25.81,7.2,SGB
-62.7917106,-11.76299593,SGB,162.5,978225.64,26.34,8.16,SGB
-62.79180296,-11.77237632,SGB,164.88,978226.08,27.18,8.72,SGB
-62.79183457,-11.78179391,SGB,171.92,978224.55,27.47,8.23,SGB
-62.79177979,-11.79063122,SGB,167.95,978226.84,28.21,9.41,SGB
-62.7917658,-11.79948716,SGB,168.45,978231.03,32.22,13.37,SGB
-62.791757,-11.80880577,SGB,171.47,978232.55,34.33,15.14,SGB
-62.79179359,-11.81786488,SGB,171.7,978238.33,39.84,20.63,SGB
-62.79186981,-11.82687769,SGB,169.11,978244.68,45.06,26.13,SGB
-62.79178861,-11.83609154,SGB,154.75,978251.67,47.27,29.95,SGB
